Step,Temperature_K,Time_s,Rate,X_i,X_active,f_norm
Step_1_rxn,1023.15,8.999999999999995,0.002972888366993114,0.0,,
Step_1_rxn,1023.15,9.599999999999994,0.003265596085850276,0.004293473955980635,,
Step_1_rxn,1023.15,10.199999999999994,0.003450390753438835,0.008915576455579565,,
Step_1_rxn,1023.15,10.799999999999999,0.0036544690026860424,0.01380531058161621,,
Step_1_rxn,1023.15,11.399999999999993,0.0040989198277999244,0.01914137790147782,,
Step_1_rxn,1023.15,12.0,0.004646890200962968,0.025160453185913863,,
Step_1_rxn,1023.15,12.6,0.005456167584899115,0.03211361878362497,0.03211361878362497,0.4623114122783178
Step_1_rxn,1023.15,13.2,0.006443107453367843,0.04030298398250177,0.04030298398250177,0.5459366963858607
Step_1_rxn,1023.15,13.8,0.007594320024880557,0.04996387674297934,0.04996387674297934,0.6434811177195463
Step_1_rxn,1023.15,14.399999999999999,0.009087559132286122,0.061444744290139214,0.061444744290139214,0.7700060951642494
Step_1_rxn,1023.15,15.0,0.010854607302373354,0.07516941938715212,0.07516941938715212,0.9197314330255408
Step_1_rxn,1023.15,15.600000000000001,0.012749235548472418,0.09141414762318648,0.09141414762318648,1.0802668723365836
Step_1_rxn,1023.15,16.200000000000003,0.014689707829672204,0.11029828361233632,0.11029828361233632,1.244686763560469
Step_1_rxn,1023.15,16.800000000000004,0.016364203474418207,0.13167032684227112,0.13167032684227112,1.3865699506749884
Step_1_rxn,1023.15,17.400000000000006,0.01794011469885448,0.15527937768914632,0.15527937768914632,1.5200998931589413
Step_1_rxn,1023.15,18.000000000000007,0.019250014865219576,0.18087451283933828,0.18087451283933828,1.631090214924699
Step_1_rxn,1023.15,18.600000000000005,0.020181355905648277,0.208012123701889,0.208012123701889,1.7100045050401689
Step_1_rxn,1023.15,19.2,0.020897182103598394,0.2362833543871035,0.2362833543871035,1.7706578144135936
Step_1_rxn,1023.15,19.800000000000008,0.02123896274338339,0.2652824553503977,0.2652824553503977,1.7996175352817183
Step_1_rxn,1023.15,20.400000000000006,0.021281779225089052,0.2945462452356799,0.2945462452356799,1.8032454568618614
Step_1_rxn,1023.15,21.000000000000007,0.021294857817472465,0.3238485034455502,0.3238485034455502,1.8043536307625536
Step_1_rxn,1023.15,21.600000000000005,0.021059626980556436,0.35299787117643094,0.35299787117643094,1.784422076473964
Step_1_rxn,1023.15,22.200000000000006,0.02071330848615028,0.38174700277191337,0.38174700277191337,1.755077854590066
Step_1_rxn,1023.15,22.800000000000008,0.020424970146019773,0.4100593483802436,0.4100593483802436,1.7306464009799063
Step_1_rxn,1023.15,23.400000000000002,0.019952980447070917,0.4378484180778191,0.4378484180778191,1.6906538199408292
Step_1_rxn,1023.15,24.00000000000001,0.019470135368489475,0.46498034768302515,0.46498034768302515,1.6497414420277248
Step_1_rxn,1023.15,24.600000000000012,0.018867763317511728,0.49136540494807096,0.49136540494807096,1.5987013173850617
Step_1_rxn,1023.15,25.200000000000014,0.0179376903360535,0.5166957969517909,0.5166957969517909,1.5198944723075916
